STANDARD_NAME	REACTOME_MELANIN_BIOSYNTHESIS
SYSTEMATIC_NAME	M27545
COLLECTION	C2:CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MELANIN_BIOSYNTHESIS
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Melanin biosynthesis
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-5662702
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://www.reactome.org/content/detail/R-HSA-5662702
SOURCE_MEMBERS	ENSG00000077498,ENSG00000080166,ENSG00000104044,ENSG00000107165,ENSG00000164175
GENE_SYMBOLS	TYR,DCT,OCA2,TYRP1,SLC45A2
FOUNDER_NAMES	